Nom de la fête ou manifestation;Catégorie de la fête ou manifestation;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Commune de la fête ou manifestation;Bureau distributeur de l'adresse postale;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Point d'accès/Nom/distance en km;N° de téléphone fixe;N° de téléphone mobile;N° de fax;localisation;departement
TRIATHLON;Manifestation sportive;;Plan d'eau;;;72120;SAINT-CALAIS;72120;;72269;47.9326732;0.7466961;;02 43 63 00 54;;;47.9326732,0.7466961;Sarthe
UN PEINTRE UN SCULPTEUR;Exposition;;;Chapelle de l'Hôpital;Rue Foch;44210;PORNIC;;;44131;47.11591;-2.10163;;02 40 82 04 40;;;47.11591,-2.10163;Loire-Atlantique
UNE TABLE AVEC PLAISIR REÇOIT LES DÉESSES DU SOLEIL À DIVATTE SUR LOIRE;Danse (spectacle);;;9 Place de l'Église;;44450;DIVATTE-SUR-LOIRE;;;44029;47.2749764;-1.3404611;;;06 36 21 45 98;;47.2749764,-1.3404611;Loire-Atlantique
VENTE ANNUELLE TOILES DE MAYENNE;Visites et sorties à thèmes;;Toiles de Mayenne;;Fontaine-Daniel;53100;SAINT-GEORGES-BUTTAVENT;;;53219;48.2785008;-0.6735028;;02 43 00 34 80;;;48.2785008,-0.6735028;Mayenne
VIDE GRENIER;Brocantes & vide-greniers;;;Parking de la Birochère;;44210;PORNIC;;;44131;47.10973;-2.08842;;09 67 75 00 52;06 98 61 38 73;;47.10973,-2.08842;Loire-Atlantique
VIDE GRENIER;Brocantes & vide-greniers;;;Place de l'Eglise;Le Clion sur Mer;44210;PORNIC;;;44131;47.12246;-2.05397;;06 34 96 29 64;06 34 96 29 64;;47.12246,-2.05397;Loire-Atlantique
VIDE GRENIER;Brocantes & vide-greniers;;;Boulevard des Nations Unies;Terrain de foot;44770;LA PLAINE-SUR-MER;;;44126;47.13936;-2.19006;;06 22 75 86 41;;;47.13936,-2.19006;Loire-Atlantique
VIDE GRENIER;Brocantes & vide-greniers;Parking de la salle des fêtes;;;;72390;SEMUR-EN-VALLON;;;72333;48.0242971;0.65332272;;02 43 93 26 04;;;48.0242971,0.65332272;Sarthe
VIDE-GRENIER;Brocantes & vide-greniers;;;Parc de la Villenière;La Pouëze;49220;ERDRE-EN-ANJOU;;;49367;47.553733;-0.814454;;02 41 95 25 58;;;47.553733,-0.814454;Maine-et-Loire
VIDE-GRENIER;Brocantes & vide-greniers;;Base de loisirs - May'n Loisirs;Le Bas Loze;;53300;LA HAIE-TRAVERSAINE;;;53111;48.3737552;-0.5979181;;;06 70 14 98 59;;48.3737552,-0.5979181;Mayenne
VIDE-GRENIER - BEL AIR DE COMBRÉE;Brocantes & vide-greniers;;;;Bel Air de Combrée;49420;OMBRÉE D'ANJOU;;;49248;47.7106907;-0.9881768;;;;;47.7106907,-0.9881768;Maine-et-Loire
VIDE-GRENIER ASL FOOTBALL;Brocantes & vide-greniers;;;Site ombragé de la Vinière;Complexe sportif de la Vinière;44410;SAINT-LYPHARD;;;44175;47.39491;-2.30094;;;06 62 09 60 45;;47.39491,-2.30094;Loire-Atlantique
VIDE-GRENIER-MARCHE AUX PUCES;Brocantes & vide-greniers;;;Place de l'Eglise Madame;;44760;LES MOUTIERS-EN-RETZ;;;44106;47.063;-2.00074;;;06 56 68 30 32;;47.063,-2.00074;Loire-Atlantique
VIDE-GRENIERS;Brocantes & vide-greniers;;Arthon en Retz;Salle omnisports;Rue du Stade;44320;CHAUMES-EN-RETZ;;;44005;47.12223;-1.93653;;;06 60 30 78 57;;47.12223,-1.93653;Loire-Atlantique
VIDE-GRENIERS;Brocantes & vide-greniers;;;Complexe sportif de la Vinière;;44410;SAINT-LYPHARD;;;44175;47.3946;-2.30016;;02 40 91 38 93;06 83 81 30 09;;47.3946,-2.30016;Loire-Atlantique
VIDE-GRENIERS AU PARC SAINT BLAISE;Brocantes & vide-greniers;;Parc Saint-Blaise;;Noyant-la-Gravoyère;49520;SEGRE-EN-ANJOU BLEU;;;49331;47.7106685;-0.9513218;;;;;47.7106685,-0.9513218;Maine-et-Loire
VISITE : LES CARTES DU MUSÉE;Visites et sorties à thèmes;;Musée Robert Tatin;Lieu-dit La Frénouse;;53230;COSSE-LE-VIVIEN;;;53077;47.9333818;-0.8954235;;02 43 98 80 89;;;47.9333818,-0.8954235;Mayenne
VISITE AVEC DEGUSTATION A CLISSON : ANTIPASTI;Visites et sorties à thèmes;;;Place du Minage;;44190;CLISSON;;;44043;47.08691;-1.2817909;;02 40 54 02 95;;;47.08691,-1.2817909;Loire-Atlantique
VISITE DE LA RESERVE NATURELLE REGIONALE DE LA POINTE SAINT-GILDAS;Visites et sorties à thèmes;;;Pointe Saint-Gildas;;44770;PREFAILLES;;;44136;47.13367;-2.24639;;02 40 21 60 37;;;47.13367,-2.24639;Loire-Atlantique
VISITE DU BOURG;Conférence;place de l'église;;;;72110;TORCE-EN-VALLEE;;;72359;48.1344;0.39787;;02 43 60 72 77;;;48.1344,0.39787;Sarthe
