id_lieu;id_local;nom_lieu;ad_lieu;com_lieu;insee;type;date_maj;ouvert;source;Xlong;Ylat;nbre_pl;nbre_pmr;duree;horaires;proprio;lumiere;comm;localisation;libelle_region;code_region
44035-C-014;;P+R Tram-Train La Chapelle-Sur-Erdre Centre Ouest;Avenue de la Gare;LA CHAPELLE SUR ERDRE;44035;Parking relais;2019-08-29;true;224400028;-1.548767735;47.2968762;;;;;;;;47.2968762,-1.548767735;Pays de la Loire;52
44109-C-077;;Parking Bellamy;Impasse de la Courtine;NANTES;44109;Parking;2019-08-29;true;224400028;-1.557693699;47.22236042;;;;;;;;47.22236042,-1.557693699;Pays de la Loire;52
44130-C-002;;Stade;62 Rue de Nantes. 44860 Pont-Saint-Martin;PONT ST MARTIN;44130;Parking;2019-08-29;true;224400028;-1.5802106;47.1276845;;;;;;;;47.1276845,-1.5802106;Pays de la Loire;52
44196-C-002;;Aire de covoiturage de Sévérac;7 La Normandais. 44530 Sévérac;SEVERAC;44196;Aire de covoiturage;2019-08-29;true;224400028;-2.0544648;47.5570961;;;;;;;;47.5570961,-2.0544648;Pays de la Loire;52
49099-C-002;;Aire de covoiturage de Dénia;Giratoire échangeur D160-N249 (Cholet Ouest);CHOLET;49099;Aire de covoiturage;2019-08-29;true;224900019;-0.905585;47.035609;;;;;;;;47.035609,-0.905585;Pays de la Loire;52
49176-C-005;;Aire de covoiturage de La Roche Aux Fées;giratoire Nord Déviation Le Lion (D775-N162);LE LION D ANGERS;49176;Aire de covoiturage;2019-08-29;true;224900019;-0.723422;47.636605;;;;;;;;47.636605,-0.723422;Pays de la Loire;52
85159-C-002;;Place Clemenceau;20 Rue Victor Hugo. 85370 Nalliers;NALLIERS;85159;Aire de covoiturage;2019-08-29;true;228500013;-1.0245;46.4709;5;;;;;;;46.4709,-1.0245;Pays de la Loire;52
85163-C-002;;Aire de covoiturage de L'Etier du Moulin;24 D948. 85330 Noirmoutier-en-l'éle;NOIRMOUTIER EN L ILE;85163;Aire de covoiturage;2019-08-29;true;228500013;-2.248;46.9993;24;;;;;;;46.9993,-2.248;Pays de la Loire;52
85176-C-002;;Parking Saint Michel;38 Rue de Saumur. 85200 Pissotte;PISSOTTE;85176;Aire de covoiturage;2019-08-29;true;228500013;-0.8086;46.4968;25;;;;;;;46.4968,-0.8086;Pays de la Loire;52
85247-C-002;;Parking des Glycines;10 Rue des Glycines. 85130 Saint-Martin-des-Tilleuls;ST MARTIN DES TILLEULS;85247;Parking;2019-08-29;true;228500013;-1.0498;46.9732;17;;;;;;;46.9732,-1.0498;Pays de la Loire;52
